Foundation,Communities,FormalName,Location,Region
Millbrook Priory #,"Benedictine monks
priory cell dependent on St Albans, Hertfordshire;founded 1097-1119: church granted to St Albans by Nigel de Waste;transferred to (/merged with) Beadlow 1143;dissolved 1140-6","Saint Michael
____________________Millbrook Cell",52°02′10″N 0°31′26″W﻿ / ﻿52.0359803°N 0.5239105°W﻿ / 52.0359803; -0.5239105﻿ (Millbrook Priory),Bedfordshire
Newnham Priory #,"Augustinian Canons Regular — from Bedford Priory (collegiate church of St Paul)
(community founded at Bedford c.1165)transferred here c.1180;dissolved 1540; granted to Urian Brereton 1540/1","Saint Paul
____________________Newenham Priory;Newenham by Bedford Priory",52°08′27″N 0°26′42″W﻿ / ﻿52.140758°N 0.445118°W﻿ / 52.140758; -0.445118﻿ (Newnham Priory (approx loc)) (approx),Bedfordshire
Pulloxhill Grange,"Augustinian Canons Regular
grange of Dunstable;dissolved; granted to Sir William Pagett 1547",,51°59′40″N 0°27′12″W﻿ / ﻿51.994315°N 0.453444°W﻿ / 51.994315; -0.453444﻿ (Pulloxhill Grange),Bedfordshire
Ruxox Cell,"Augustinian Canons Regular
cell/chapel for retired brothers from Dunstable;founded before 1189;dissolved after 1290",chapel dedicated to St Nicholas,52°00′45″N 0°28′32″W﻿ / ﻿52.012428°N 0.475647°W﻿ / 52.012428; -0.475647﻿ (Ruxox Cell),Bedfordshire
Turvey Abbey *,"Benedictine nuns
extant;
adjacent to Benedictine monastery (see immediately below)",The Priory of Our Lady of Peace,52°09′42″N 0°37′06″W﻿ / ﻿52.161705°N 0.618389°W﻿ / 52.161705; -0.618389﻿ (Turvey Abbey),Bedfordshire
Turvey monastery *,"Benedictine monksfounded 1980; extant;
adjacent to Benedictine Abbey (see immediately above)",The Monastery of Christ our Saviour,52°09′41″N 0°37′09″W﻿ / ﻿52.161251°N 0.619199°W﻿ / 52.161251; -0.619199﻿ (Turvey monastery),Bedfordshire
Warden Abbey #,"Cistercian monksfounded 1136 by Walter Espec;dissolved (surrendered by the abbot and monks) 4 December 1538;
Elizabethan house built on site (of which exist only remnants)
renovated 1974; (LT)","The Abbey Church of the Blessed Virgin Mary, Old Warden
____________________St Mary de Sartis Abbey;Old Warden Abbey;Wardon Abbey",52°04′54″N 0°22′00″W﻿ / ﻿52.081749°N 0.366583°W﻿ / 52.081749; -0.366583﻿ (Warden Abbey),Bedfordshire
Woburn Abbey #,"Cistercian monksdaughter of Fountains, Yorkshirefounded 28 May 1145 by Hugh de Bolebec;dissolved 1538; granted to John Lord Russell 1547/8
site now occupied by a mansion, estate and safari park","The Abbey Church of the Blessed Virgin Mary, Woburn",51°58′58″N 0°35′43″W﻿ / ﻿51.982858°N 0.595365°W﻿ / 51.982858; -0.595365﻿ (Woburn Abbey),Bedfordshire
Abingdon Abbey,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Berkshire
"Ankerwycke Priory,Wraysbury","Benedictine nunsfounded c.1160 by Gilbert de Mountfitchet, Kt., Lord of Wyrardisbury and his son;dissolved before 8 July 1536; granted to Lord Windsor 1538/9 then to Sir Thomas Smith 1550/1
ruins in grounds of Ankerwycke House","The Priory Church of Saint Mary Magdalene, Ankerwyke
____________________Ankerwick Priory;Ankerwyke Priory",51°26′37″N 0°33′26″W﻿ / ﻿51.443643°N 0.557191°W﻿ / 51.443643; -0.557191﻿ (Ankerwyke Priory),Berkshire
"Ascot Priory *,Winkfield",Anglican nunsfounded 1861; extant,The Priory Church of Jesus Christ,51°33′26″N 0°46′43″W﻿ / ﻿51.5571358°N 0.7785863°W﻿ / 51.5571358; -0.7785863﻿ (Ascot Priory),Berkshire
Bisham Abbey #,"Augustinian Canons Regular prioryfounded 1337 by William Montacute;built to the northeast of the site of the former Knights Templars' preceptory (see immediately below)dissolved 1536Benedictine monks
abbeyfounded 1537 by Henry VIII;
the abbey incorporating parts of the former Knights Templars' structure;
(transferred from Chertsey, Surrey);dissolved 1538; granted to Sir Edward Hoby c.1554;
extant preceptory & demolished priory/abbey site now headquarters of the National Sports Council","The Priory Church of the Jesus Christ and the Blessed Virgin Mary, Bisham
The Abbey Church of the Holy Trinity, Bisham
____________________Bustlesham Priory;",51°33′25″N 0°46′45″W﻿ / ﻿51.557016°N 0.779225°W﻿ / 51.557016; -0.779225﻿ (Bisham Abbey),Berkshire
Bisham Preceptory #,"Knights Templarfounded before 1139 by Robert de Ferrers;dissolved 1308-12;
Augustinian priory later founded to northeast of site (see immediately above);
extant preceptory & demolished priory/abbey site now headquarters of the National Sports Council",,51°33′25″N 0°46′45″W﻿ / ﻿51.557016°N 0.779225°W﻿ / 51.557016; -0.779225﻿ (Bisham Preceptory),Berkshire
Bradfield Abbey ~,"monks
documented 1066
land granted by King Ine to Hean, Abbot of Abingdon, and Ceolswyth 688-90 to found a monastery; community included monks, status and site otherwise unknown",,,Berkshire
Bradley Priory ~,"Benedictine monksdependent on Abingdon (Oxfordshire)
manor, described in 1547 as 'lately a priory';status and site otherwise unknown",,51°26′38″N 1°08′17″W﻿ / ﻿51.4438905°N 1.1379486°W﻿ / 51.4438905; -1.1379486﻿ (Bradley Priory (approx. loc.)) (approx),Berkshire
"Bromhall Priory #,Sunningdale","Benedictine nunsdaughter of Chertsey, Surrey;founded before 1200 by Edward, the Black Prince;
accidentally burnt 1462;dissolved 1521 when the last prioress died and the remaining sisters left;
given to Saint John's College Cambridge
remains destroyed or incorporated into farm buildings","The Priory Church of Saint Margaret, Bromhall
____________________Broomhall Priory",51°23′23″N 0°37′42″W﻿ / ﻿51.3896194°N 0.6282806°W﻿ / 51.3896194; -0.6282806﻿ (Bromhall Priory (approx. loc.)) (approx),Berkshire
Charney Manor,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Berkshire
Cholsey Abbey,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Berkshire
Cold Ash Centre *,"Francisan Friars Minor and sisters
Novitiate house for the Franciscan Missionaries of Mary founded 1930s; extant",The Cold Ash Centre,51°25′22″N 1°15′21″W﻿ / ﻿51.4227009°N 1.2559283°W﻿ / 51.4227009; -1.2559283﻿ (Cold Ash Friary),Berkshire
Cookham Abbey ~,"probable double monasteryfounded before 726; granted to Canterbury by Æthelbald of Mercia;
confiscated by Offa and Coenwulf;restored before 798; granted by Archbishop Æthelheard to Cynethryth, an abbess;
site now occupied by parochial church",,51°33′40″N 0°42′27″W﻿ / ﻿51.5611263°N 0.7075506°W﻿ / 51.5611263; -0.7075506﻿ (Cookham Abbey (supposed loc.)) (supposed),Berkshire
Coxwell Grange,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Berkshire
Donnington Friary ^,"Crouched Friarsfounded before 1404 (1392/3), land granted by Sir Richard Abberbury to the London Friary c.1376;dissolved 1538 (recorded at suppression as Trinitarian, later corrected to Crossed Friars);
site now occupied by country house of named 'The Priory'",Donington Friary,51°24′53″N 1°19′52″W﻿ / ﻿51.414588°N 1.331057°W﻿ / 51.414588; -1.331057﻿ (Donnington Friary),Berkshire
"Douai Abbey *,Woolhampton","Benedictine monks
(community founded at Douai, Belgium, 1615)removed from Douai 1903; extant","The Abbey Church of Saint Edmund, King and Martyr, Upper Woolhampton",51°24′31″N 1°10′17″W﻿ / ﻿51.408715°N 1.171454°W﻿ / 51.408715; -1.171454﻿ (Douai Abbey),Berkshire
East Hendred Cell,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Berkshire
Faringdon Abbey,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Berkshire
Greenham Preceptory ~,"Knights Hospitallerfounded c.1180 (1199) on estates granted by Matilda Countess of Clare and Gervase Paynell;
last preceptor d. 1442;
made part of the estate of the prior of England by the grand master of Rhodes 1445dissolved 1540;
briefly restored under Queen Mary",,51°24′03″N 1°19′10″W﻿ / ﻿51.400946°N 1.319561°W﻿ / 51.400946; -1.319561﻿ (Greenham Preceptory (approx. loc.)) (approx),Berkshire
Hurley Priory +,"Benedictine monksfounded before 1087 (1065) granted by Godfrey de Magna Villa (Mandeville) to the Benedictines of Westminster to found a cell;dissolved 1536; granted to Leonard Chamberleyn c.1544
nave of church now in parochial use","The Priory Church of the Blessed Virgin Mary, Hurley",51°33′03″N 0°48′31″W﻿ / ﻿51.550922°N 0.808549°W﻿ / 51.550922; -0.808549﻿ (Hurley Priory),Berkshire
Kintbury Abbey #,"possible Saxon abbey, minuter or oratoryfounded before 931, not mentioned in Domesday survey;
land granted to Fontevrault Benedictine nuns and brothers 1147 by Robert Le Bossu to found a monastery;transferred to new site at Nuneaton, Warwickshire 1155;
planned refoundation probably never established",Saint Mary,51°23′30″N 1°27′19″W﻿ / ﻿51.391735°N 1.4552164°W﻿ / 51.391735; -1.4552164﻿ (Kintbury Priory (approx. loc.)) (approx),Berkshire
Poughley Priory ^,"Augustinian Canons Regularfounded c.1160 by Ralph de Chaddleworth;dissolved 1524 and granted to Cardinal Wolsey's college at Oxford and was occupied by scholars of the college;
remains (cellar range) now incorporated into after-dissolution farmhouse without public access","The Priory Church of Saint Margaret, Poughley",51°28′44″N 1°24′06″W﻿ / ﻿51.4788839°N 1.4016581°W﻿ / 51.4788839; -1.4016581﻿ (Poughley Priory (approx. loc.)) (approx),Berkshire
Reading Abbey,"Cluniac monksfounded 1121 by Henry IBenedictine monksrefounded c.1210;dissolved 1539; granted to Edward, Duke of Somerset c.1550;
quarried and dismantled c.1550-1643
ruins extant","The Abbey Church of Our Lady and Saint John the Evangelist, Reading",51°27′23″N 0°57′55″W﻿ / ﻿51.456367°N 0.965263°W﻿ / 51.456367; -0.965263﻿ (Reading Abbey),Berkshire
Reading Nunnery,"nunsfounded 979dissolved 1016; granted to Battle, Sussex by William the Conqueror;
apparently on the site now occupied by St Mary's Minster Church (restored 1551-1555 with masonry and timbers from the demolished Reading Abbey)",,51°27′16″N 0°58′25″W﻿ / ﻿51.454500°N 0.973690°W﻿ / 51.454500; -0.973690﻿ (Reading Nunnery),Berkshire
"Reading Greyfriars, earlier site","Franciscan Friars Minor, Conventual (under the Custody of Oxford)founded 1233 by permission of Adam de Lathbury, abbot of Reading, and the abbey's convent;transferred to new site 1285-6 (see immediately below)",,,Berkshire
Reading Greyfriars +,"Franciscan Friars Minor, Conventual (under the Custody of Oxford)transferred from former site (see immediately above) 1285-6 with permission of the abbot of Reading;
church built 1311;dissolved 15 September 1538; used as hospital, a poorhouse then a town jail;
converted back to a parish church",Saint Francis,51°27′24″N 0°58′36″W﻿ / ﻿51.4567346°N 0.9766352°W﻿ / 51.4567346; -0.9766352﻿ (Reading Greyfriars),Berkshire
Sandleford Priory ^,"Augustinian Canons Regularfounded 1193/1202 by Jeffrey (Geoffrey), Earl of Perch and his wife Maud (Matilda);
arrangements made 1274 by Maud de Clare, Countess of Gloucester and Hertford (1223-1289) to refound as a double house for Fontevrault Benedictine nuns and brothers, but this did not come about;dissolved 1478
remains converted to a country house, (see also Sandleford);
now an Anglican Convent School","The Priory Church of Saint John the Baptist, Sandleford",51°22′39″N 1°18′59″W﻿ / ﻿51.3774596°N 1.3163853°W﻿ / 51.3774596; -1.3163853﻿ (Sandleford Priory),Berkshire
Shalford Preceptory,"Knights Templarfounded c.1198, apparently granted by Simon de Ovile;Knights Hospitallerdissolved after 1276;
by 1338 had become a member of Greenham",Brimpton Commandery;Brimpton Preceptory,51°22′41″N 1°11′54″W﻿ / ﻿51.3781561°N 1.1983681°W﻿ / 51.3781561; -1.1983681﻿ (Brimpton Preceptory (approx. loc.)) (approx),Berkshire
Sheffield Lesser Priory ~,"Benedictine monksalien house: manor-grange dependent on St Martin-de-Noyon, Charleval;founded after 1086, manor granted to Charleval by the Count of Evreux;
locally known as a 'priory'dissolved and privately leased c.1166-7;
passed to Reading 1270",,,Berkshire
Sonning Minster,"Saxon minster
held by Bishop of Ramsbury/Sherborne 10th/11th century
sometimes considered joint-see with Ramsbury, Wiltshire;
current parochial church dating to 9th century, largely rebuilt 1852-3;restored 1870-90",Hundredal Minster,51°28′27″N 0°54′47″W﻿ / ﻿51.4740526°N 0.9130722°W﻿ / 51.4740526; -0.9130722﻿ (Sonning Minster),Berkshire
Steventon Priory,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Berkshire
Stratfield Saye Priory,"Benedictine monksalien house: priory cell dependent on Valmontfounded 1169 or 1170 by Nicholas de Stoteville (Nicholas d'Estouteville): hermitage granted to Valmont;dissolved 1399;
house named 'The Priory' built on site (Beech Hill in the Berkshire part of Stratfield Saye)","St Leonard
____________________Stratfield-Say Priory",51°22′28″N 0°59′03″W﻿ / ﻿51.374315°N 0.984226°W﻿ / 51.374315; -0.984226﻿ (Stratfield Saye Priory),Berkshire
Templeton Camera,"Knights Templar
possible small hospice or hostel with chapel;
passed to Knights Hospitallers in 1311; in private hands at Dissolution;
mansion named 'Templeton House' built on site 1895",,51°23′40″N 1°28′56″W﻿ / ﻿51.3944931°N 1.4823389°W﻿ / 51.3944931; -1.4823389﻿ (Templeton Camera (approx. loc.)) (approx),Berkshire
Wallingford Priory,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Berkshire
Wytham Priory,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Historical county location. See entry under List of monastic houses in Oxfordshire,Berkshire
Bedminster Monastery,"possible Saxon monastic or secular foundation
parochial church of St John probably built on site, rebuilt 1854, destroyed by bombing in World War II",,51°26′24″N 2°35′55″W﻿ / ﻿51.4399232°N 2.5985026°W﻿ / 51.4399232; -2.5985026﻿ (Bedminster Monastery (probable loc.)) (probable),Bristol
Bristol Austin Friars #,"Augustinian Friars (under the Limit of Oxford)founded 1313 by Sir Simon and Sir William Montacute;
vacation house for alien students 1362;dissolved September 1538; granted to Maurice Dennis c.1543",,51°27′01″N 2°35′03″W﻿ / ﻿51.450283°N 2.584094°W﻿ / 51.450283; -2.584094﻿ (Bristol Austin Friars (site)),Bristol
Bristol Blackfriars ^,"Dominican Friars (under the Visitation of London)founded 1227/8 by Sir Maurice [de] Gaunt;dissolved 10 September 1528 (1538?); granted to William Chester;
subsequently The Friars Quaker meeting house;
then Bristol Register Office;
currently in use as a restaurant",,"51°27′26″N 2°35′16″W﻿ / ﻿51.457296°N 2.58772°W﻿ / 51.457296; -2.58772﻿ (Black Friary, Bristol (site))",Bristol
Bristol Eremites Friars #,Friars Eremites,,51°26′52″N 2°35′10″W﻿ / ﻿51.447842°N 2.586132°W﻿ / 51.447842; -2.586132﻿ (Bristol Eremites Friars (site)),Bristol
Bristol Friars of the Sack #,"Friars of the Sackfounded before 1266;dissolved after 1286; friars had left before 1322, though church continued in use",,51°27′17″N 2°35′54″W﻿ / ﻿51.454655°N 2.598261°W﻿ / 51.454655; -2.598261﻿ (Bristol Sack Friars (site)),Bristol
Bristol Greyfriars #,"Franciscan Friars Minor, Conventual (under the Custody of Bristol)founded before 1230/34;dissolved 10 September 1538; granted to Mayor and citizens c.1541",Saint Francis,51°27′29″N 2°35′44″W﻿ / ﻿51.4580983°N 2.5956488°W﻿ / 51.4580983; -2.5956488﻿ (Bristol Greyfriars (site)),Bristol
Bristol Whitefriars #,"Carmelite Friarsfounded 1256/1267 by Edward, Prince of Wales (the future Edward I);dissolved 1538; site successively occupied by a mansion and a boys' school;
site now occupied by Colston Hall",The Blessed Virgin Mary,51°27′17″N 2°35′54″W﻿ / ﻿51.454655°N 2.598261°W﻿ / 51.454655; -2.598261﻿ (Bristol Whitefriars (site)),Bristol
"St James's Priory, Bristol +","Benedictine monksfounded 1120s, built by Robert, Earl of Gloucester, son of Henry I;dissolved 1539; granted to Henry Brayne c.1543;
nave in parochial use 1374;
fell into disuse 1980s;
in custodianship of the Little Brothers of Nazareth since 1996","The Priory Church of Saint James, Bristol",51°27′31″N 2°35′35″W﻿ / ﻿51.458596°N 2.593036°W﻿ / 51.458596; -2.593036﻿ (Bristol — St James's Priory),Bristol
Bristol — St Mary Magdalen Nunnery #,"Augustinian Canonessesfounded 1173 by Eva, widow of Robert Fitzharding;
also given as Benedictinedissolved 1536; granted to Henry Brayne and John Marsh;
King David Inn built on site",St Mary Magdalene,51°27′26″N 2°35′52″W﻿ / ﻿51.45719°N 2.59782°W﻿ / 51.45719; -2.59782﻿ (Bristol — St Mary Magdalen Nunnery (site)),Bristol
Bristol — St Philip's Priory,Benedictine monksfounded c.900,"The Church of Saint Philip and Saint Jacob, Bristol",51°27′18″N 2°35′06″W﻿ / ﻿51.454969°N 2.584987°W﻿ / 51.454969; -2.584987﻿ (Bristol — St Philip's Priory),Bristol
Bristol — St Stephen's Priory,"Benedictine monks
recorded as a cell dependent on Glastonbury, Somerset",,,Bristol
"Bristol Cathedral Abbey: St Augustine's Abbey, Bristol +","Augustinian Canons Regular — Victorinefounded 1140-2 by Robert Fitzharding; first canons transferred from Shobdon, Herefordshire (1120 or) 1148;dissolved 9 December 1539;
episcopal diocesan cathedralfounded 1542; extant","The Abbey Church of Saint Augustine of Canterbury, Bristol
The Cathedral Church of the Holy and Undivided Trinity, Bristol",51°27′06″N 2°36′02″W﻿ / ﻿51.45161°N 2.600536°W﻿ / 51.45161; -2.600536﻿ (Bristol Cathedral Abbey),Bristol
Bristol Preceptory,"Knights Templar
church built on site of templar church, now in ruins",,51°27′08″N 2°35′12″W﻿ / ﻿51.452095°N 2.586744°W﻿ / 51.452095; -2.586744﻿ (Bristol Preceptory),Bristol
Westbury Priory,"Saxon minster, college of secular priestsfounded 716;granted to Worcester 824;
probably destroyed in Danish raids 9th century;Benedictine monksrefounded c.963/4 by Bishop Oswald;
12 monks transferred to new site at Ramsey, Huntingdonshire 972; priory lapsed thereafter;refounded c.1093, cell dependent on Worcester;
lapsed before c.1112;refounded 1125;
college of secular priests 1194;
parochial church built on site","The Priory Church of the Blessed Virgin Mary, Westbury on Trym
____________________Westbury on Trym Priory;Westbury Minster",51°29′40″N 2°37′02″W﻿ / ﻿51.494537°N 2.6171923°W﻿ / 51.494537; -2.6171923﻿ (Westbury Priory),Bristol
Aylesbury Greyfriars #,"Franciscan Friars Minor, Conventual (under the Custody of Oxford)founded 1387 by James Butler, Earl of Ormond;dissolved 1 October 1538",,51°48′54″N 0°48′47″W﻿ / ﻿51.814956°N 0.813117°W﻿ / 51.814956; -0.813117﻿ (Aylesbury Friary),Buckinghamshire
Aylesbury Monastery #,"possible nuns order and period unknown
said to have been a nunnery or Trinitarian house — probably only a holding",,51°48′35″N 0°48′43″W﻿ / ﻿51.809653°N 0.811993°W﻿ / 51.809653; -0.811993﻿ (Aylesbury Monastery (poss. loc.)) (possible),Buckinghamshire
Biddlesden Abbey #,"Cistercian monks — from Garendon, Leicestershirefounded 10 July 1147 by Ernald de Bosco, seneschal of the Earl of Leicester;dissolved 29 September 1538; granted to Thomas Wriothesley 1540/1;
remains demolished c.1727;
site now occupied by private house named 'Biddlesden Park'","Saint Mary
____________________Biddlesdon Abbey;Bittlesden Abbey",52°02′52″N 1°04′43″W﻿ / ﻿52.047704°N 1.078473°W﻿ / 52.047704; -1.078473﻿ (Biddlesden Abbey),Buckinghamshire
Bradwell Priory,"Benedictine monks
cell dependent on Luffield;founded before 1136-44 (before/c.1155) by Meinfelin, Lord of Wolverton;dissolved 1524-5 (or 1526) by Cardinal Wolsey for Christ Church, Oxford; granted to Arthur Longfield 1542/3;
now in private ownership; currently an urban studies centre","Saint Mary
____________________Bradewell Priory",52°02′54″N 0°47′42″W﻿ / ﻿52.048215°N 0.795074°W﻿ / 52.048215; -0.795074﻿ (Bradwell Priory),Buckinghamshire
Bulstrode Preceptory $,"Knights Templarfounded before 1276;dissolved 1308-1312;
land passed to and leased on behalf of the Knights Hospitaller, though they had no commandery here;
site identified through earthworks",,51°35′06″N 0°35′29″W﻿ / ﻿51.5850832°N 0.591352°W﻿ / 51.5850832; -0.591352﻿ (Bulstrode Preceptory),Buckinghamshire
Burnham Abbey *,"Augustinian canonessesfounded 1265/66 by Richard, King of the Romans;dissolved 19 September 1539; granted to William Tyldesly 1544/5;Anglican Augustinian Society of the Precious Bloodtransferred from Birmingham 1916; extant",Saint Mary,51°30′56″N 0°39′37″W﻿ / ﻿51.515523°N 0.66036°W﻿ / 51.515523; -0.66036﻿ (Burnham Abbey),Buckinghamshire
Chetwode Priory +,"Augustinian Canons Regularfounded 1244 or 1245 by Ralph de Norwich;dissolved, being reduced to the status of a cell, annexed to Notley 1460-1;dissolved 1535;
priory church became parochial c.1480 as the Parish Church of St Mary and St Nicholas","Saint Mary and Saint Nicholas
____________________Chetwode Cell",51°57′47″N 1°04′10″W﻿ / ﻿51.963091°N 1.069469°W﻿ / 51.963091; -1.069469﻿ (Chetwode Priory),Buckinghamshire
